TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,ProductName,Category,UnitPrice,Name,Region,JoinDate
20,2025-05-04,1111,2022,403,3.0,671.18,Home-Economy,Electronics,671.18,Ronald Chavez,south-west,2021-06-24
22,2025-05-04,1062,2011,403,3.0,1229.22,Electronics-Religious,Clothing,409.74,Ashley Harmon,South,2024-02-13
23,2025-05-04,1062,2096,404,3.0,672.18,Office-Discuss,Home,672.18,Ashley Harmon,South,2024-02-13
24,2025-05-04,1086,2003,404,2.0,924.43,Electronics-Training,Clothing,385.18,Robert Rodriguez,EAST,2023-03-01
25,2025-05-04,1046,2062,402,2.0,1981.95,Office-Receive,Clothing,619.36,Tyler Colon,Central,2021-03-03
26,2025-05-04,1066,2043,403,2.0,698.76,Electronics-Practice,Office,873.45,Derrick Myers,North,2022-04-06
27,2025-05-04,1142,2001,402,0.0,1237.05,Electronics-Be,Clothing,412.35,Marvin Hamilton,North,2022-04-23
28,2025-05-04,1061,2092,404,3.0,482.21,Electronics-Add,Office,482.21,Taylor Kaufman,North,2021-07-23
29,2025-05-04,1142,2097,402,3.0,4210.5,Office-Recent,Clothing,842.1,Marvin Hamilton,North,2022-04-23
30,2025-05-04,1165,2091,404,3.0,4528.95,Office-Mrs,Office,905.79,Richard Burnett,Central,2022-07-24
31,2023-13-01,1004,2011,403,1.0,737.53,Electronics-Religious,Clothing,409.74,Kerry Collins,North,2023-09-12
32,2025-05-04,1103,2088,402,2.0,0.0,Office-Evening,Clothing,709.35,Megan Chandler,East,2023-06-25
33,2025-05-04,1169,2074,403,3.0,0.0,Clothing-Strong,Clothing,659.5,Michael Edwards,south-west,2023-09-26
34,2025-05-04,1141,2067,403,3.0,872.85,Clothing-Remain,Electronics,290.95,David Palmer,North,2022-09-16
35,2025-05-04,1190,2070,403,2.0,54.69,Clothing-About,Clothing,34.18,Elizabeth Robinson,south-west,2023-12-27
36,2025-05-04,1179,2058,403,2.0,1066.8,Home-Wear,Home,666.75,Desiree Miller,EAST,2021-12-21
37,2025-05-04,1064,2029,401,1.0,12.16,Home-Yourself,Electronics,13.51,Joshua Cline,EAST,2024-02-19
38,2025-05-04,1080,2015,402,1.0,3037.36,Office-Itself,Clothing,674.97,Thomas Parker,south-west,2023-02-28
39,2025-05-04,1055,2094,404,2.0,1578.72,Office-Fight,Clothing,493.35,William Benitez,east,2020-11-04
40,2025-05-04,1185,2075,403,0.0,0.0,Electronics-Letter,Electronics,780.64,Cameron Levine,east,2021-07-26
41,2025-05-04,9999,2037,402,2.0,288.11,Clothing-Meeting,Electronics,360.14,,,
42,2025-05-04,1045,2038,401,1.0,1667.72,Office-Soon,Clothing,926.51,Dr. Susan Bailey,North,2020-10-02
43,2025-05-04,1070,2005,401,2.0,686.05,Office-Huge,Home,428.78,Brittany Johnson,East,2021-06-04
44,2025-05-04,1178,2016,404,0.0,0.0,Home-He,Office,323.02,Katherine Kerr,EAST,2020-11-13
45,2025-05-04,1003,2073,403,3.0,1498.29,Clothing-Executive,Office,499.43,David Brennan,North,2020-05-21
46,2025-05-04,1122,2056,403,1.0,944.5,Office-About,Electronics,524.72,Christopher Martinez,east,2021-10-07
47,2025-05-04,1013,2032,404,0.0,2836.8,Electronics-There,Electronics,945.6,Alyssa Morgan,North,2022-07-22
48,2025-05-04,1016,2051,404,0.0,117.32,Home-Century,Electronics,117.32,Andrea Roberts,EAST,2021-05-16
49,2025-05-04,1147,2080,401,1.0,0.0,Office-Doctor,Office,832.26,William Palmer,south-west,2023-08-14
50,2025-05-04,1038,2072,403,0.0,840.6,Electronics-Become,Office,420.3,Jason Ford,EAST,2023-10-09
51,2025-05-04,1063,2015,404,1.0,1214.95,Office-Itself,Clothing,674.97,Howard Case,south-west,2021-02-15
52,2025-05-04,1198,2066,404,3.0,516.06,Office-Occur,Clothing,516.06,Chris Allen,south-west,2022-10-11
53,2025-05-04,1113,2038,404,2.0,2223.62,Office-Soon,Clothing,926.51,Louis Jones,Central,2021-07-04
54,2025-05-04,1145,2079,401,0.0,1901.08,Office-Who,Home,950.54,Stephanie Powell,east,2023-02-03
55,2025-05-04,1195,2026,402,2.0,507.74,Clothing-Use,Home,211.56,Michael Lee,south-west,2023-08-22
56,2025-05-04,1169,2010,402,1.0,140.11,Electronics-Themselves,Clothing,77.84,Michael Edwards,south-west,2023-09-26
57,2025-05-04,1044,2070,401,1.0,0.0,Clothing-About,Clothing,34.18,Anita Huerta,East,2022-04-08
58,2025-05-04,1000,2052,404,3.0,2193.78,Office-Year,Home,731.26,Robert Gomez,West,2024-02-25
59,2025-05-04,1074,2004,402,2.0,741.8,Office-Where,Home,927.25,Alyssa Evans,West,2021-10-27
60,2025-05-04,1180,2036,404,0.0,217.98,Electronics-Candidate,Home,217.98,Jennifer Smith,south-west,2020-10-03
61,2025-05-04,1175,2029,403,1.0,36.48,Home-Yourself,Electronics,13.51,Teresa Lopez,West,2021-10-20
62,2025-05-04,1108,2014,402,1.0,221.67,Clothing-Eat,Home,246.3,Sharon Bautista,Central,2022-07-31
63,2025-05-04,1068,2018,401,0.0,2169.04,Electronics-Nature,Electronics,542.26,Melissa Gutierrez,East,2023-12-25
64,2025-05-04,1042,2039,403,3.0,2929.32,Clothing-Need,Clothing,976.44,Christopher Dodson,North,2023-10-30
65,2025-05-04,1031,2059,403,3.0,0.0,Electronics-Clear,Home,512.05,Jessica Frazier,West,2021-10-20
66,2025-05-04,1069,2064,404,3.0,1470.2,Electronics-Stop,Home,294.04,Virginia Warren,North,2023-08-24
67,2025-05-04,1020,2076,401,3.0,4836.42,Clothing-Affect,Clothing,806.07,Michelle Brewer,East,2021-07-14
68,2025-05-04,1188,2041,403,0.0,1608.42,Home-Assume,Office,804.21,Ashley Todd,North,2023-09-04
69,2025-05-04,1023,2029,401,2.0,0.0,Home-Yourself,Electronics,13.51,Dustin Medina,east,2021-06-14
70,2025-05-04,1147,2005,402,3.0,0.0,Office-Huge,Home,428.78,William Palmer,south-west,2023-08-14
71,2025-05-04,1132,2083,404,2.0,614.53,Clothing-Cut,Home,768.16,Scott Winters,West,2022-09-20
72,2025-05-04,1046,2074,404,3.0,659.5,Clothing-Strong,Clothing,659.5,Tyler Colon,Central,2021-03-03
73,2025-05-04,1023,2060,403,3.0,1225.14,Office-Term,Home,408.38,Dustin Medina,east,2021-06-14
74,2025-05-04,1085,2041,401,1.0,1447.58,Home-Assume,Office,804.21,Steven Wright,Central,2021-08-22
75,2025-05-04,1084,2052,404,2.0,2925.04,Office-Year,Home,731.26,Martha Mccall,North,2022-05-31
76,2025-05-04,1169,2051,401,3.0,117.32,Home-Century,Electronics,117.32,Michael Edwards,south-west,2023-09-26
77,2025-05-04,1022,2040,403,2.0,55.26,Clothing-Determine,Office,34.54,Austin Gutierrez,EAST,2021-11-25
78,2025-05-04,1029,2098,404,0.0,3631.44,Clothing-Trouble,Electronics,907.86,Gina Powers,West,2022-10-26
79,2025-05-04,1168,2069,404,3.0,232.39,Clothing-Garden,Home,232.39,Denise Gonzales,South,2022-05-02
80,2025-05-04,1013,2024,403,3.0,372.81,Clothing-Paper,Home,124.27,Alyssa Morgan,North,2022-07-22
81,2025-05-04,1160,2056,401,1.0,472.25,Office-About,Electronics,524.72,Phillip Soto,West,2023-04-21
82,2025-05-04,1068,2070,402,2.0,109.38,Clothing-About,Clothing,34.18,Melissa Gutierrez,East,2023-12-25
83,2025-05-04,1112,2089,404,0.0,2067.6,Electronics-Action,Office,413.52,Joseph Flores,East,2021-04-03
84,2025-05-04,1007,2080,402,1.0,1498.07,Office-Doctor,Office,832.26,David Kim,West,2020-05-20
85,2025-05-04,1079,2070,401,3.0,34.18,Clothing-About,Clothing,34.18,Zachary Thompson MD,EAST,2022-09-05
86,2025-05-04,1023,2028,401,3.0,2551.76,Electronics-Take,Electronics,637.94,Dustin Medina,east,2021-06-14
87,2025-05-04,1030,2082,402,3.0,799.8,Office-Figure,Office,266.6,Alice Robinson,EAST,2021-08-06
88,2025-05-04,1183,2037,403,3.0,2160.84,Clothing-Meeting,Electronics,360.14,Kenneth Graves,East,2020-05-08
89,2025-05-04,1123,2060,402,3.0,2450.28,Office-Term,Home,408.38,Colleen Greene,south-west,2022-08-21
90,2025-05-04,1141,2018,404,1.0,2440.17,Electronics-Nature,Electronics,542.26,David Palmer,North,2022-09-16
91,2025-05-04,1153,2065,402,0.0,470.34,Office-Animal,Home,470.34,Michelle Martinez,East,2023-07-31
92,2025-05-04,1070,2098,404,2.0,0.0,Clothing-Trouble,Electronics,907.86,Brittany Johnson,East,2021-06-04
93,2025-05-04,1129,2034,401,2.0,108.94,Clothing-Feel,Office,136.17,Karina Jones,East,2023-11-05
94,2025-05-04,1185,2038,404,1.0,1667.72,Office-Soon,Clothing,926.51,Cameron Levine,east,2021-07-26
95,2025-05-04,1114,2068,404,2.0,656.19,Home-Read,Electronics,820.24,Grace Price,South,2022-03-25
96,2025-05-04,1085,2070,404,3.0,0.0,Clothing-About,Clothing,34.18,Steven Wright,Central,2021-08-22
97,2025-05-04,1082,2024,402,3.0,372.81,Clothing-Paper,Home,124.27,Connor Martin,Central,2023-01-05
98,2025-05-04,1059,2099,404,0.0,1292.64,Electronics-Several,Electronics,646.32,Steve Massey,West,2020-08-06
99,2025-05-04,1081,2095,404,3.0,490.79,Home-Seem,Office,490.79,Ryan White,South,2020-09-04
100,2025-05-04,1098,2084,402,3.0,0.0,Office-Stuff,Clothing,281.85,Jeffrey Maxwell,West,2022-01-27
101,2025-05-04,1009,2016,403,0.0,969.06,Home-He,Office,323.02,Zachary Bell Jr.,East,2023-04-20
102,2025-05-04,1112,2012,404,0.0,1869.57,Clothing-Artist,Electronics,623.19,Joseph Flores,East,2021-04-03
103,2025-05-04,1184,2018,404,1.0,488.03,Electronics-Nature,Electronics,542.26,Brittney Chen,EAST,2023-07-20
104,2025-05-04,1019,2060,403,2.0,0.0,Office-Term,Home,408.38,Michelle Torres,Central,2020-11-18
105,2025-05-04,1159,2088,404,0.0,0.0,Office-Evening,Clothing,709.35,Kelli Smith,North,2022-01-28
106,2025-05-04,1084,2086,404,2.0,2861.12,Home-Of,Home,894.1,Martha Mccall,North,2022-05-31
107,2025-05-04,1160,2091,404,0.0,905.79,Office-Mrs,Office,905.79,Phillip Soto,West,2023-04-21
108,2025-05-04,1158,2008,402,2.0,159.82,Electronics-Skin,Home,66.59,Kelly Gallagher,East,2024-03-02
109,2025-05-04,1058,2095,401,3.0,2453.95,Home-Seem,Office,490.79,Steven Jackson,Central,2020-06-26
110,2025-05-04,1025,2097,401,3.0,842.1,Office-Recent,Clothing,842.1,Garrett Lewis,South,2023-08-04
111,2025-05-04,1042,2088,403,0.0,709.35,Office-Evening,Clothing,709.35,Christopher Dodson,North,2023-10-30
112,2025-05-04,1011,2041,401,2.0,0.0,Home-Assume,Office,804.21,Amanda Myers,West,2021-09-05
113,2025-05-04,1091,2047,404,1.0,0.0,Clothing-Hair,Office,334.98,Brianna Thomas,south-west,2023-05-23
114,2025-05-04,1062,2067,404,1.0,0.0,Clothing-Remain,Electronics,290.95,Ashley Harmon,South,2024-02-13
115,2025-05-04,1043,2022,401,3.0,2684.72,Home-Economy,Electronics,671.18,Eric Pena,West,2022-06-30
116,2025-05-04,1158,2087,402,3.0,477.96,Electronics-Rather,Clothing,159.32,Kelly Gallagher,East,2024-03-02
117,2025-05-04,1149,2018,402,3.0,1626.78,Electronics-Nature,Electronics,542.26,Jordan Elliott,North,2020-05-13
118,2025-05-04,1163,2032,404,2.0,756.48,Electronics-There,Electronics,945.6,Elizabeth Vaughn,West,2023-05-01
119,2025-05-04,1170,2001,404,2.0,659.76,Electronics-Be,Clothing,412.35,Eric Davis,North,2023-10-15
120,2025-05-04,1173,2069,402,0.0,464.78,Clothing-Garden,Home,232.39,David King MD,North,2022-09-14
121,2025-05-04,1113,2044,403,3.0,0.0,Office-Society,Clothing,207.58,Louis Jones,Central,2021-07-04
122,2025-05-04,1176,2032,404,2.0,756.48,Electronics-There,Electronics,945.6,Ashley Williams,EAST,2021-11-24
123,2025-05-04,1050,2049,404,0.0,2819.52,Office-Easy,Home,939.84,Jeffrey Mclaughlin,EAST,2022-03-28
124,2025-05-04,1060,2048,403,2.0,1144.42,Electronics-Candidate,Home,357.63,Mr. Christopher Thompson,South,2023-04-10
125,2025-05-04,1179,2037,401,3.0,1440.56,Clothing-Meeting,Electronics,360.14,Desiree Miller,EAST,2021-12-21
126,2025-05-04,1070,2001,401,3.0,0.0,Electronics-Be,Clothing,412.35,Brittany Johnson,East,2021-06-04
127,2025-05-04,1073,2099,402,2.0,0.0,Electronics-Several,Electronics,646.32,Matthew Clark,Central,2023-08-21
128,2025-05-04,1056,2081,402,2.0,0.0,Office-Light,Clothing,746.22,Kristina Wilson,east,2023-05-15
129,2025-05-04,1173,2096,402,0.0,672.18,Office-Discuss,Home,672.18,David King MD,North,2022-09-14
130,2025-05-04,1160,2082,401,2.0,426.56,Office-Figure,Office,266.6,Phillip Soto,West,2023-04-21
131,2025-05-04,1112,2004,403,1.0,1669.05,Office-Where,Home,927.25,Joseph Flores,East,2021-04-03
132,2025-05-04,1023,2037,403,3.0,2160.84,Clothing-Meeting,Electronics,360.14,Dustin Medina,east,2021-06-14
133,2025-05-04,1044,2025,402,2.0,223.7,Electronics-Assume,Clothing,279.62,Anita Huerta,East,2022-04-08
134,2025-05-04,1135,2064,403,1.0,793.91,Electronics-Stop,Home,294.04,Christopher Chen,South,2023-09-10
135,2025-05-04,1065,2061,403,2.0,639.74,Home-Quite,Clothing,199.92,Daniel Adams,Central,2023-07-02
136,2025-05-04,1029,2059,401,1.0,921.69,Electronics-Clear,Home,512.05,Gina Powers,West,2022-10-26
137,2025-05-04,1193,2028,404,2.0,1531.06,Electronics-Take,Electronics,637.94,Nancy King,South,2022-05-23
138,2025-05-04,1023,2050,401,2.0,298.85,Electronics-Young,Home,186.78,Dustin Medina,east,2021-06-14
139,2025-05-04,1137,2015,404,2.0,539.98,Office-Itself,Clothing,674.97,Jessica Harmon,south-west,2022-11-05
140,2025-05-04,1172,2095,403,3.0,2453.95,Home-Seem,Office,490.79,Eric Barr,EAST,2023-02-01
141,2025-05-04,1163,2047,401,1.0,301.48,Clothing-Hair,Office,334.98,Elizabeth Vaughn,West,2023-05-01
142,2025-05-04,1120,2003,403,1.0,1039.99,Electronics-Training,Clothing,385.18,Daniel Meyer,South,2024-03-15
143,2025-05-04,1165,2008,404,2.0,53.27,Electronics-Skin,Home,66.59,Richard Burnett,Central,2022-07-24
144,2025-05-04,1166,2052,401,1.0,658.13,Office-Year,Home,731.26,David Mccullough,south-west,2021-12-15
145,2025-05-04,1011,2004,403,3.0,3709.0,Office-Where,Home,927.25,Amanda Myers,West,2021-09-05
146,2025-05-04,1029,2012,402,1.0,0.0,Clothing-Artist,Electronics,623.19,Gina Powers,West,2022-10-26
147,2025-05-04,1099,2058,403,3.0,666.75,Home-Wear,Home,666.75,Lori Howard,EAST,2021-02-27
148,2025-05-04,1150,2095,402,3.0,490.79,Home-Seem,Office,490.79,Bobby Hunter,North,2020-12-06
149,2025-05-04,1167,2012,404,3.0,0.0,Clothing-Artist,Electronics,623.19,Terry Frederick,North,2021-12-20
150,2025-05-04,1071,2004,403,1.0,834.52,Office-Where,Home,927.25,Christopher Frost,east,2020-08-21
151,2025-05-04,1113,2056,402,2.0,839.55,Office-About,Electronics,524.72,Louis Jones,Central,2021-07-04
152,2025-05-04,1025,2087,403,2.0,0.0,Electronics-Rather,Clothing,159.32,Garrett Lewis,South,2023-08-04
153,2025-05-04,1015,2050,403,1.0,504.31,Electronics-Young,Home,186.78,Jennifer Rodgers,North,2023-02-12
154,2025-05-04,1031,2058,401,1.0,2400.3,Home-Wear,Home,666.75,Jessica Frazier,West,2021-10-20
155,2025-05-04,1164,2081,401,0.0,2984.88,Office-Light,Clothing,746.22,William Ramsey,North,2023-05-04
156,2025-05-04,1085,2031,402,1.0,508.77,Office-Develop,Office,565.3,Steven Wright,Central,2021-08-22
157,2025-05-04,1017,2097,402,1.0,757.89,Office-Recent,Clothing,842.1,Brittney Burnett,North,2020-07-03
158,2025-05-04,1059,2042,402,0.0,0.0,Clothing-Lawyer,Home,167.61,Steve Massey,West,2020-08-06
159,2025-05-04,1070,2018,402,2.0,0.0,Electronics-Nature,Electronics,542.26,Brittany Johnson,East,2021-06-04
160,2025-05-04,1044,2014,401,1.0,886.68,Clothing-Eat,Home,246.3,Anita Huerta,East,2022-04-08
161,2025-05-04,1003,2045,402,2.0,499.42,Office-Next,Home,312.14,David Brennan,North,2020-05-21
162,2025-05-04,1004,2022,403,0.0,671.18,Home-Economy,Electronics,671.18,Kerry Collins,North,2023-09-12
163,2025-05-04,1032,2094,404,0.0,493.35,Office-Fight,Clothing,493.35,Terri Long,east,2022-10-23
164,2025-05-04,1190,2008,404,3.0,266.36,Electronics-Skin,Home,66.59,Elizabeth Robinson,south-west,2023-12-27
165,2025-05-04,1199,2046,401,3.0,167.15,Clothing-Worry,Clothing,33.43,James Cooley,West,2020-07-23
166,2025-05-04,1128,2028,401,2.0,2041.41,Electronics-Take,Electronics,637.94,Vincent Day,North,2022-07-03
167,2025-05-04,1117,2082,401,0.0,799.8,Office-Figure,Office,266.6,Amanda Lang,North,2024-04-14
168,2025-05-04,1122,2051,404,0.0,234.64,Home-Century,Electronics,117.32,Christopher Martinez,east,2021-10-07
169,2025-05-04,1125,2091,404,0.0,1811.58,Office-Mrs,Office,905.79,Debbie Andrews,West,2021-05-22
170,2025-05-04,1020,2041,402,0.0,0.0,Home-Assume,Office,804.21,Michelle Brewer,East,2021-07-14
171,2025-05-04,1032,2035,403,3.0,4499.95,Home-According,Home,899.99,Terri Long,east,2022-10-23
172,2025-05-04,1152,2067,403,3.0,872.85,Clothing-Remain,Electronics,290.95,Thomas Garcia,east,2022-09-14
173,2025-05-04,1129,2077,404,0.0,2809.15,Office-Ball,Electronics,561.83,Karina Jones,East,2023-11-05
174,2025-05-04,1179,2014,402,3.0,738.9,Clothing-Eat,Home,246.3,Desiree Miller,EAST,2021-12-21
175,2025-05-04,1115,2029,404,2.0,0.0,Home-Yourself,Electronics,13.51,Gina Banks,West,2023-09-16
176,2025-05-04,1116,2051,404,0.0,351.96,Home-Century,Electronics,117.32,Melissa Rivera,Central,2021-10-25
177,2025-05-04,1080,2054,403,2.0,3602.04,Electronics-Above,Office,900.51,Thomas Parker,south-west,2023-02-28
178,2025-05-04,1095,2019,404,0.0,933.93,Home-History,Clothing,933.93,Dr. Jason Scott,South,2021-04-07
179,2025-05-04,1023,2010,401,3.0,0.0,Electronics-Themselves,Clothing,77.84,Dustin Medina,east,2021-06-14
180,2025-05-04,1024,2095,403,1.0,3533.69,Home-Seem,Office,490.79,Andres Avila,Central,2022-09-19
181,2025-05-04,1142,2007,403,0.0,583.39,Clothing-Over,Electronics,583.39,Marvin Hamilton,North,2022-04-23
182,2025-05-04,1105,2045,404,0.0,624.28,Office-Next,Home,312.14,Taylor Clarke,Central,2023-03-11
183,2025-05-04,1073,2076,403,2.0,1934.57,Clothing-Affect,Clothing,806.07,Matthew Clark,Central,2023-08-21
184,2025-05-04,1026,2073,402,1.0,1797.95,Clothing-Executive,Office,499.43,Gary Walls,North,2023-10-05
185,2025-05-04,1168,2061,402,0.0,599.76,Home-Quite,Clothing,199.92,Denise Gonzales,South,2022-05-02
186,2025-05-04,1089,2071,403,0.0,0.0,Clothing-Success,Office,615.16,Matthew Hernandez,North,2023-04-12
187,2025-05-04,1195,2035,402,3.0,0.0,Home-According,Home,899.99,Michael Lee,south-west,2023-08-22
188,2025-05-04,1143,2098,401,2.0,2178.86,Clothing-Trouble,Electronics,907.86,Miss Chelsea Castro DDS,Central,2021-02-23
189,2025-05-04,1007,2023,403,2.0,751.63,Home-Yeah,Electronics,939.54,David Kim,West,2020-05-20
190,2025-05-04,1086,2044,401,1.0,373.64,Office-Society,Clothing,207.58,Robert Rodriguez,EAST,2023-03-01
191,2025-05-04,1036,2072,404,0.0,1260.9,Electronics-Become,Office,420.3,Robert Bishop,south-west,2020-09-14
192,2025-05-04,1036,2094,401,0.0,2466.75,Office-Fight,Clothing,493.35,Robert Bishop,south-west,2020-09-14
193,2025-05-04,1191,2067,402,3.0,872.85,Clothing-Remain,Electronics,290.95,Kyle Smith Jr.,South,2023-10-31
194,2025-05-04,1107,2058,403,1.0,1800.22,Home-Wear,Home,666.75,Emily Hoffman,West,2023-06-09
195,2025-05-04,1094,2039,403,0.0,1952.88,Clothing-Need,Clothing,976.44,Robert Jones,West,2023-11-18
196,2025-05-04,1013,2019,402,0.0,0.0,Home-History,Clothing,933.93,Alyssa Morgan,North,2022-07-22
197,2025-05-04,1172,2010,403,3.0,0.0,Electronics-Themselves,Clothing,77.84,Eric Barr,EAST,2023-02-01
198,2025-05-04,1169,2054,404,3.0,900.51,Electronics-Above,Office,900.51,Michael Edwards,south-west,2023-09-26
199,2025-05-04,1106,2034,402,0.0,136.17,Clothing-Feel,Office,136.17,Jennifer Ewing,east,2023-05-16
200,2025-05-04,1088,2055,401,2.0,129.46,Clothing-Politics,Home,53.94,Lindsay Torres,east,2021-12-30
201,2025-05-04,1173,2086,404,2.0,715.28,Home-Of,Home,894.1,David King MD,North,2022-09-14
202,2025-05-04,1011,2028,404,0.0,0.0,Electronics-Take,Electronics,637.94,Amanda Myers,West,2021-09-05
203,2025-05-04,1001,2026,403,1.0,190.4,Clothing-Use,Home,211.56,John Silva,East,2020-12-01
204,2025-05-04,1196,2017,403,2.0,370.96,Electronics-Feeling,Electronics,463.7,Dr. Elizabeth Johnston DDS,North,2022-02-09
205,2025-05-04,1083,2015,401,3.0,0.0,Office-Itself,Clothing,674.97,Jacqueline Bishop,South,2020-06-05
206,2025-05-04,1191,2055,402,1.0,48.55,Clothing-Politics,Home,53.94,Kyle Smith Jr.,South,2023-10-31
207,2025-05-04,1097,2068,402,2.0,1312.38,Home-Read,Electronics,820.24,Laura Jones,EAST,2023-12-07
208,2025-05-04,1018,2050,401,3.0,0.0,Electronics-Young,Home,186.78,Edwin Garrison,south-west,2020-08-31
209,2025-05-04,1004,2058,401,2.0,1066.8,Home-Wear,Home,666.75,Kerry Collins,North,2023-09-12
210,2025-05-04,1147,2054,404,3.0,2701.53,Electronics-Above,Office,900.51,William Palmer,south-west,2023-08-14
211,2025-05-04,1074,2014,404,0.0,738.9,Clothing-Eat,Home,246.3,Alyssa Evans,West,2021-10-27
212,2025-05-04,1083,2021,404,2.0,668.33,Clothing-Skill,Office,835.41,Jacqueline Bishop,South,2020-06-05
213,2025-05-04,1022,2055,401,1.0,97.09,Clothing-Politics,Home,53.94,Austin Gutierrez,EAST,2021-11-25
214,2025-05-04,1111,2075,404,0.0,1561.28,Electronics-Letter,Electronics,780.64,Ronald Chavez,south-west,2021-06-24
215,2025-05-04,1101,2039,403,1.0,2636.39,Clothing-Need,Clothing,976.44,Ryan Martin,south-west,2020-11-14
216,2025-05-04,1085,2099,402,0.0,646.32,Electronics-Several,Electronics,646.32,Steven Wright,Central,2021-08-22
217,2025-05-04,1130,2081,401,1.0,1343.2,Office-Light,Clothing,746.22,Mary Sandoval,North,2020-10-06
218,2025-05-04,1198,2044,403,1.0,186.82,Office-Society,Clothing,207.58,Chris Allen,south-west,2022-10-11
219,2025-05-04,1060,2013,402,2.0,0.0,Office-Cultural,Home,935.36,Mr. Christopher Thompson,South,2023-04-10
220,2025-05-04,1050,2022,402,0.0,671.18,Home-Economy,Electronics,671.18,Jeffrey Mclaughlin,EAST,2022-03-28
221,2025-05-04,1045,2098,404,3.0,907.86,Clothing-Trouble,Electronics,907.86,Dr. Susan Bailey,North,2020-10-02
222,2025-05-04,1193,2072,404,2.0,1681.2,Electronics-Become,Office,420.3,Nancy King,South,2022-05-23
223,2025-05-04,1160,2040,402,3.0,138.16,Clothing-Determine,Office,34.54,Phillip Soto,West,2023-04-21
224,2025-05-04,1017,2060,404,2.0,0.0,Office-Term,Home,408.38,Brittney Burnett,North,2020-07-03
225,2025-05-04,1070,2075,401,2.0,624.51,Electronics-Letter,Electronics,780.64,Brittany Johnson,East,2021-06-04
226,2025-05-04,1129,2009,403,3.0,198.93,Office-Raise,Clothing,66.31,Karina Jones,East,2023-11-05
227,2025-05-04,1115,2004,401,2.0,2225.4,Office-Where,Home,927.25,Gina Banks,West,2023-09-16
228,2025-05-04,1073,2009,401,3.0,66.31,Office-Raise,Clothing,66.31,Matthew Clark,Central,2023-08-21
229,2025-05-04,1118,2074,401,3.0,659.5,Clothing-Strong,Clothing,659.5,Briana Alvarado,South,2022-03-18
230,2025-05-04,1146,2083,402,2.0,614.53,Clothing-Cut,Home,768.16,Jonathan Andrade,south-west,2020-06-07
231,2025-05-04,1154,2060,402,0.0,408.38,Office-Term,Home,408.38,Edward Castillo,North,2020-10-01
232,2025-05-04,1115,2013,403,0.0,2806.08,Office-Cultural,Home,935.36,Gina Banks,West,2023-09-16
233,2025-05-04,1129,2082,402,0.0,1066.4,Office-Figure,Office,266.6,Karina Jones,East,2023-11-05
234,2025-05-04,1063,2090,404,3.0,71.64,Office-Staff,Office,71.64,Howard Case,south-west,2021-02-15
235,2025-05-04,1134,2066,402,2.0,1238.54,Office-Occur,Clothing,516.06,Joseph Aguilar,West,2023-12-05
